Data ID,Classification,Confidence Score,Detailed Justification
D1,No Action,0.85,"All malicious indicators are 0. Authentication has mixed results (SPF softfail, DKIM policy, DMARC fail) but no high-risk request type. Content spam score is extremely low (0.11). Max exfiltration behavior score is high (0.90) but without confirmed malware components. Sender reputation decent (0.67). Rule 21 applies - very low threat scores across all categories with minor technical issues only."
D2,MALICIOUS,0.95,"Packer detected (1) + ActiveX objects detected (1) triggers Rule 5: dangerous code execution. High behavioral scores (sandbox 0.56, exfiltration 0.99) with obfuscation patterns. Authentication failures (SPF fail, DKIM policy) support classification. Dangerous code execution patterns require immediate blocking."
D3,MALICIOUS,0.95,"Final URL known malicious (1) triggers Rule 1: known threat indicators. Legal threat request with known malicious URL destination requires immediate blocking. Low threat scores irrelevant when Rule 1 triggers."
D4,No Action,0.75,"No malicious indicators detected. Max exfiltration behavior score high (0.77) but max behavioral sandbox score very low (0.0001). Authentication shows SPF/DKIM pass but DMARC fail. Good TLS 1.1. Low spam score (0.08). Mixed signals but overall clean profile. Rule 20 applies - legitimate business email with good authentication and low spam score."
D5,Spam,0.75,"Content spam score (0.688) > 0.60 triggers Rule 14: high spam probability. Despite good authentication, high spam score without malicious components requires spam classification."
D6,No Action,0.78,"No malicious indicators. Request type is invoice_verification (medium risk) but all threat scores extremely low. Authentication shows SPF pass but DKIM neutral. SSL self-signed but very low threat indicators otherwise. Rule 20 applies - legitimate business email with some technical concerns but no threat indicators."
D7,No Action,0.70,"No malicious indicators. Max exfiltration behavior score high (0.90) but very low malware detection scores. Authentication all pass. SSL self-signed raises concern but other indicators clean. Rule 20 applies with some reservation due to high exfiltration score but overall legitimate profile."
D8,MALICIOUS,0.95,"Total components detected malicious (1) > 0 triggers Rule 2: confirmed malware detection. Authentication failures (SPF fail, DKIM policy) and SSL self-signed support classification. Confirmed malicious components require immediate blocking regardless of other signals."
D9,Warning,0.68,"Return path mismatch (1) with authentication failures (SPF/DKIM/DMARC all fail). High sender temp email likelihood (0.79). SSL expired. No confirmed malware but multiple infrastructure concerns. Rule 12 applies - infrastructure concerns with authentication and SSL issues but no confirmed threats."
D10,MALICIOUS,0.95,"Final URL known malicious (1) triggers Rule 1: known threat indicators. Meeting request with known malicious URL destination requires immediate blocking regardless of other signals."
