Data ,sender_known_malicios,sender_domain_reputation_score,sender_spoof_detected,sender_temp_email_likelihood,dmarc_enforced,packer_detected,any_file_hash_malicious,max_metadata_suspicious_score,malicious_attachment_Count,has_executable_attachment,unscannable_attachment_present,total_yara_match_count,total_ioc_count,max_behavioral_sandbox_score,max_amsi_suspicion_score,any_macro_enabled_document,any_vbscript_javascript_detected,any_active_x_objects_detected,any_network_call_on_open,max_exfiltration_behavior_score,any_exploit_pattern_detected,total_embedded_file_count,max_suspicious_string_entropy_score,max_sandbox_execution_time,unique_parent_process_names,return_path_mismatch_with_from,return_path_known_malicious,return_path_reputation_score,reply_path_known_malicious,reply_path_diff_from_sender,reply_path_reputation_Score,smtp_ip_known_malicious,smtp_ip_geo,smtp_ip_asn,smtp_ip_reputation_score,domain_known_malicious,url_Count,dna_morphing_detected,domain_tech_stack_match_score,is_high_risk_role_targeted,sender_name_similarity_to_vip,urgency_keywords_present,request_type,content_spam_score,user_marked_as_spam_before,bulk_message_indicator,unsubscribe_link_present,marketing-keywords_detected,html_text_ratio,image_only_email,spf_result,dkim_result,dmarc_result,reverse_dns_valid,tls_version,total_links_detected,url_shortener_detected,url_redirect_chain_length,final_url_known_malicious,url_decoded_spoof_detected,url_reputation_score,ssl_validity_status,site_visual_similarity_to_known_brand,url_rendering_behavior_score,link_rewritten_through_redirector,token_validation_success,total_components_detected_malicious
D201,0,0.0007283192894779,0,4.780773873303202e-08,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.1027270123516472,0,0,0.0636694199382942,0,0.0573971729827883,5.4201119714578135e-08,0.0001171383146415,0,0,0,0.0,0,0.1120681546272226,0.5856938,none,1.1476368077324358e-14,0,0,0,0,0.0,0,softfail,permerror,none,1,TLS 1.2,3,0,0,0,0,2.8219319965954992e-08,valid,0.0118482582525923,2.215341549865801e-06,0,1,0
D202,1,7.279113697264674e-05,0,0.167554415081492,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.528675024178178,0,0,0.000383521098184,0,0.3734895176304961,7.755622106427013e-05,0.0889230198734944,0,0,0,0.5,0,5.847884268785113e-11,0.1646835,none,7.714960087916997e-06,0,0,0,0,0.0,0,fail,fail,fail,1,TLS 1.1,1,0,0,0,0,3.436715690742406e-06,self signed,0.0002611069781309,0.0653171775209996,0,1,0
D203,1,5.427605264208003e-10,0,7.556158789823229e-07,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,3.88472780492099e-21,0,0,0.0013481087611286,0,5.940056647727529e-06,0.2493020203892765,5.947103651375e-10,0,0,0,1.0,0,0.003429405917949,0.7276828,gift_card_request,2.940341487334633e-06,0,0,0,0,0.0,0,pass,none,temperror,1,TLS 1.3,0,0,0,0,0,1.3552554359441247e-05,self signed,7.824236782237611e-11,0.0777847529693033,0,1,0
D204,0,0.0764845866127992,0,0.0008865139011357,0,0,0,0.0012362294087427,0,1,0,0,0,1.4308692602009255e-09,0.0019584522417277,0,0,0,0,0.7236704036256817,0,0,5,8.787432059264405e-75,"[""""]",0,0,0.0393123683341626,0,0,0.003551589103212,0,0.8927794188172349,5.224542349129012e-13,5.7907191826842025e-06,0,0,0,0.5,0,0.0036717368122465,0.6118371,wire_transfer,0.0051691687375797,0,0,0,0,0.0,0,pass,none,fail,1,TLS 1.3,0,0,0,0,0,5.043189355098202e-05,valid,4.7604628334922965e-21,6.553541187873567e-05,0,1,1
D205,0,1.4727446120929443e-09,0,0.0006639214987575,0,0,0,0.2044586825720863,0,0,0,0,0,3.954129624318624e-08,0.0001493656321219,0,0,0,0,0.7692702648213682,0,0,7,3.91946976831641e-16,"[""""]",0,0,0.0168847388501821,0,1,2.943685095108257e-07,0,0.0623995455133157,0.0032103483428097,0.0388962977688318,0,0,0,0.5,0,0.0018887079427861,0.6442831,document_download,4.2478031301939576e-08,0,0,0,0,0.0,0,softfail,fail,pass,1,TLS 1.1,0,0,0,0,0,4.704629787823404e-12,valid,0.3059355358579095,0.7658462766315313,0,1,2
D206,0,0.0078723549288838,0,0.0014433762218121,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.3627011377830137,0,0,0.5662536610348657,0,0.2488631634712082,0.0440877568922952,0.0006193593816881,0,0,0,0.5,0,2.008524112365943e-08,0.8597931,none,5.0060757596796175e-05,0,0,0,0,0.0,0,pass,fail,fail,1,TLS 1.0,0,0,0,0,0,0.0700381481600998,valid,4.800959891305752e-06,1.3710644150987507e-08,0,1,4
D207,0,0.0001170134724839,0,2.6610295960448587e-08,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.9872944016656292,0,0,2.9525398203990715e-10,0,0.0072145699858368,0.0019588098716936,0.921370410091266,0,0,0,1.0,0,0.0034727359300957,0.163387,sensitive_data_request,0.4938512008862221,0,0,0,0,0.0,0,fail,policy,fail,1,TLS 1.2,0,0,0,0,0,0.0834826657619612,valid,0.49764953727805,0.0031378525361908,0,1,5
D208,0,4.866572847027649e-05,0,0.3058300210284595,0,0,0,0.9475430638677576,0,0,0,0,0,1.4153420692269928e-10,0.2329852614903431,0,0,0,0,0.8980856957678829,0,1,4,1.124715141964715e-21,"[""""]",0,0,2.0275714608282496e-05,0,0,0.0873918501840626,0,1.2182392110090838e-07,0.1053632411754908,0.3668993724402086,0,0,0,0.5,0,0.1020961631279221,0.0973545,meeting_request,0.0349122615814736,0,0,0,0,0.0,0,fail,fail,permerror,1,TLS 1.0,0,0,0,0,0,0.2437500113355601,valid,0.0827086361081649,7.551737620893395e-08,0,1,0
D209,0,0.1607910576763468,1,8.460326420301415e-06,0,0,0,7.069225520542387e-07,0,0,0,0,0,0.0009353666919216,0.2106898056327749,0,0,0,0,0.0385435845528712,0,0,4,6.087596568495963e-21,"[""""]",0,0,1.5546280902873585e-07,0,0,1.0201982797358278e-10,0,0.0402356640613207,0.0147940742884602,0.2112928800658909,0,0,0,0.0,0,0.0160538342281299,0.2768637,none,0.0009623878210912,0,0,0,0,0.0,0,fail,none,fail,1,TLS 1.2,0,0,0,0,0,0.0988811346116706,valid,1.0029305039909957e-06,6.631880572833068e-08,0,1,5
D210,0,1.3118241006423764e-05,0,0.0017106521864414,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,8.328442182157145e-08,0,0,0.0338087344810296,0,0.0010851364852811,0.4557784437096708,0.0367928250100286,0,0,0,1.0,0,5.163906411646096e-07,0.0453851,none,0.0381953043318046,1,0,0,0,0.0,0,fail,none,temperror,1,TLS 1.1,0,0,0,0,0,0.4096649393699126,valid,0.1009614636422742,0.0263753978922221,0,0,5
